epoch,train_loss,val_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
1,2.633236657142639,0.6684375643730164,0.507,0.5056910569105691,0.622,0.557847533632287,0.5596153846153846,0.5423728813559322,0.9516728624535316,0.6909581646423751
2,1.9973289260864258,0.6506909773899958,0.525,0.5222816399286988,0.586,0.5523091423185674,0.6221153846153846,0.6755447941888619,0.5185873605947955,0.5867507886435331
3,1.9230176553726197,0.645692949111645,0.527,0.525911708253359,0.548,0.5367286973555337,0.6538461538461539,0.8617886178861789,0.3940520446096654,0.5408163265306123
4,1.6569843530654906,0.6892622030698337,0.5275,0.5281473899692938,0.516,0.5220030349013657,0.4855769230769231,1.0,0.0055762081784386614,0.011090573012939002
5,1.6487413396835326,0.6975962968973013,0.5335,0.5342185903983657,0.523,0.5285497726124305,0.48365384615384616,1.0,0.0018587360594795538,0.0037105751391465678
6,1.5994783420562744,0.6941170380665705,0.5225,0.52453653217012,0.481,0.5018257694314032,0.4855769230769231,1.0,0.0055762081784386614,0.011090573012939002
7,1.449101553440094,0.7093197318223806,0.5415,0.5446716899892358,0.506,0.5246241575946086,0.4826923076923077,0.0,0.0,0.0
8,1.4451169061660767,0.6868640376971318,0.521,0.5227272727272727,0.483,0.502079002079002,0.525,0.84375,0.10037174721189591,0.17940199335548174
9,1.427066590309143,0.687124751164363,0.538,0.5435779816513762,0.474,0.5064102564102564,0.5115384615384615,1.0,0.055762081784386616,0.1056338028169014
10,1.4107929458618165,0.6890027247942411,0.5275,0.5295381310418904,0.493,0.5106162610046608,0.5038461538461538,1.0,0.040892193308550186,0.07857142857142857
11,1.2543263196945191,0.6768498604114239,0.5425,0.547486033519553,0.49,0.5171503957783641,0.5682692307692307,0.989010989010989,0.16728624535315986,0.2861685214626391
12,1.2768941464424133,0.6662885299095741,0.5665,0.5796407185628742,0.484,0.5275204359673025,0.5826923076923077,0.9482758620689655,0.20446096654275092,0.3363914373088685
13,1.1148994946479798,0.6601050147643456,0.546,0.5509977827050998,0.497,0.5226077812828601,0.5875,0.9504132231404959,0.2137546468401487,0.3490136570561457
